problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
booth,2,CDA (tuned),30,8.73750468673005e-05,0.0003724715138144344,0.0005251864428021063,0.00048202078723585414,0.0023027049344096374,0.0005251864428021063,0.06666666666666667,9100.5,10000.0,0.0015390768666596463
booth,2,DE,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1225.0,10000.0,0.012044881033337637
booth,2,GA,30,5.793372182301481e-19,1.1601641847152452e-06,0.008243631211603692,0.025204763401173388,0.1090007391994195,0.008243631211603692,0.7,700.0,10000.0,0.010615020366640238
booth,2,PSO,30,1.8966478551480425e-21,7.986280221046159e-20,3.5678441419702295e-19,6.839557517638467e-19,3.069176098908898e-18,3.5678441419702295e-19,1.0,1750.0,10000.0,0.006283077899964459
booth,2,Random,30,1.236160276506172e-05,0.01833665709236222,0.029656116917024352,0.0299401674797977,0.11523173705919003,0.029656116917024352,0.03333333333333333,3450.0,10000.0,0.003613588466669171
branin,2,CDA,30,0.39788735774586215,0.3978873723856662,0.3978874213464165,1.2714740564253564e-07,0.39788797560983014,6.361667755176252e-08,1.0,4959.0,7725.4,0.0019596434666709684
branin,2,CDA (tuned),30,0.39788997725442954,0.39805257784284276,0.39814229770829485,0.0002279215531337019,0.398769660306705,0.00025493997855588295,0.3,8267.0,10000.0,0.0017568535999998858
branin,2,DE,30,0.39788735772973816,0.39788735772973816,0.39788735772973816,0.0,0.39788735772973816,8.326672684688674e-16,1.0,1750.0,10000.0,0.012427693466603766
branin,2,GA,30,0.39788735772973816,0.3978873577297497,0.39805461836712497,0.0005293694061988681,0.4002775724696441,0.0001672606373868272,0.9,600.0,10000.0,0.011032399799963363
branin,2,PSO,30,0.39788735772973816,0.39788735772973816,0.39788735772973816,0.0,0.39788735772973816,8.326672684688674e-16,1.0,1500.0,10000.0,0.0066418064667232105
branin,2,Random,30,0.39790367462718557,0.4023996196037176,0.4035051583491083,0.004773620373944251,0.41807130480674815,0.005617800619369299,0.03333333333333333,1200.0,10000.0,0.003984695266747925
easom,2,CDA,30,-0.05823877303772116,-2.2025991280101432e-35,-0.0019425627143318277,0.010632658684061404,-2.740638750292982e-107,0.9980574372856681,0.0,nan,236.96666666666667,0.00014911153324040545
easom,2,CDA (tuned),30,-0.9999305608267478,-0.9946180568873227,-0.9882293364185382,0.013736830891808851,-0.9471195968123639,0.011770663581461886,0.03333333333333333,7557.0,10000.0,0.01620749300006234
easom,2,DE,30,-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,2575.0,10000.0,0.012306457600031233
easom,2,GA,30,-1.0,-1.0,-0.8413212291460657,0.3533918567598564,-8.110223868103331e-05,0.1586787708539343,0.7666666666666667,1050.0,10000.0,0.010715120033304023
easom,2,PSO,30,-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,2475.0,10000.0,0.006526762100050595
easom,2,Random,30,-0.9378323262986025,-0.13683074799721745,-0.3222903783523139,0.3435145633780272,-6.811138825027042e-05,0.6777096216476861,0.0,nan,10000.0,0.004053318400080267
