problem,reference,other,median_reference,median_other,u_statistic,p_value,verdict
ackley_10d,CDA (paper),CDA (budgeted),14.443423636830804,1.173796895549581,900.0,3.019859359162157e-11,CDA (budgeted) better
ackley_10d,CDA (paper),DE,14.443423636830804,4.213962512267244e-12,900.0,3.019859359162157e-11,DE better
ackley_10d,CDA (paper),GA,14.443423636830804,0.019758094803452142,900.0,3.019859359162157e-11,GA better
ackley_10d,CDA (paper),PSO,14.443423636830804,7.549516567451064e-15,900.0,2.078898697811576e-11,PSO better
ackley_10d,CDA (paper),Random,14.443423636830804,16.36780254568289,323.0,0.061451911011256986,tie
ackley_2d,CDA (paper),CDA (budgeted),0.42603190286036297,0.10988390574381635,663.0,0.0016797555161960338,CDA (budgeted) better
ackley_2d,CDA (paper),DE,0.42603190286036297,4.440892098500626e-16,900.0,1.2117803970059759e-12,DE better
ackley_2d,CDA (paper),GA,0.42603190286036297,4.440892098500626e-16,892.0,4.401949404752502e-11,GA better
ackley_2d,CDA (paper),PSO,0.42603190286036297,4.3530024029792003e-10,900.0,3.019859359162157e-11,PSO better
ackley_2d,CDA (paper),Random,0.42603190286036297,2.68819336816444,237.0,0.0016797555161960338,CDA (paper) better
ackley_30d,CDA (paper),CDA (budgeted),19.725294000838495,3.8059281035604493,900.0,3.019859359162157e-11,CDA (budgeted) better
ackley_30d,CDA (paper),DE,19.725294000838495,1.740128618976655e-08,900.0,3.019859359162157e-11,DE better
ackley_30d,CDA (paper),GA,19.725294000838495,0.014439093454730045,900.0,3.019859359162157e-11,GA better
ackley_30d,CDA (paper),PSO,19.725294000838495,1.2477848952910748,900.0,2.978472128053608e-11,PSO better
ackley_30d,CDA (paper),Random,19.725294000838495,19.74032593821804,473.0,0.7393988193114496,tie
booth,CDA (paper),CDA (budgeted),3.132012476136268e-08,0.0003724715138144344,0.0,3.019859359162157e-11,CDA (paper) better
booth,CDA (paper),DE,3.132012476136268e-08,0.0,900.0,1.2117803970059759e-12,DE better
booth,CDA (paper),GA,3.132012476136268e-08,1.1601641847152452e-06,409.0,0.5493267842679926,tie
booth,CDA (paper),PSO,3.132012476136268e-08,7.986280221046159e-20,900.0,3.019859359162157e-11,PSO better
booth,CDA (paper),Random,3.132012476136268e-08,0.01833665709236222,0.0,3.019859359162157e-11,CDA (paper) better
branin,CDA (paper),CDA (budgeted),0.3978873723856662,0.39805257784284276,0.0,3.019859359162157e-11,CDA (paper) better
branin,CDA (paper),DE,0.3978873723856662,0.39788735772973816,nan,1.0,tie
branin,CDA (paper),GA,0.3978873723856662,0.3978873577297497,663.0,0.0015432696796680036,GA better
branin,CDA (paper),PSO,0.3978873723856662,0.39788735772973816,nan,1.0,tie
branin,CDA (paper),Random,0.3978873723856662,0.4023996196037176,0.0,3.019859359162157e-11,CDA (paper) better
easom,CDA (paper),CDA (budgeted),-2.2025991280101432e-35,-0.9946180568873227,900.0,3.019859359162157e-11,CDA (budgeted) better
