budget,problem,algorithm,median_error,rank
1000,sphere_10d,CDA (tuned),15.981790460480688,5
1000,sphere_10d,Random,21.747438745397474,6
1000,rastrigin_10d,GA,23.16477232668837,1
1000,rastrigin_10d,CDA,45.787311946611844,2
1000,rastrigin_10d,PSO,52.211082786598325,3
1000,rastrigin_10d,CDA (tuned),60.86652829137541,4
1000,rastrigin_10d,DE,70.99554341989673,5
1000,rastrigin_10d,Random,89.2081015416587,6
1000,ackley_10d,GA,5.459297620857511,1
1000,ackley_10d,PSO,7.9565221662177334,2
1000,ackley_10d,DE,14.104563953241119,3
1000,ackley_10d,CDA,14.443423636830804,4
1000,ackley_10d,CDA (tuned),15.352175755544431,5
1000,ackley_10d,Random,18.572469032305058,6
1000,rosenbrock_10d,GA,19.15146092238389,1
1000,rosenbrock_10d,PSO,22.559257972229243,2
1000,rosenbrock_10d,DE,96.81487492815404,3
1000,rosenbrock_10d,Random,325.20651111309974,4
1000,rosenbrock_10d,CDA,327.45087081013025,5
1000,rosenbrock_10d,CDA (tuned),339.24383873791464,6
1000,griewank_10d,GA,1.7827388564859274,1
1000,griewank_10d,PSO,4.23154045983118,2
1000,griewank_10d,DE,16.45846606327595,3
1000,griewank_10d,CDA,48.662591815238876,4
1000,griewank_10d,CDA (tuned),55.16968105662656,5
1000,griewank_10d,Random,75.64020496311497,6
1000,levy_10d,GA,0.5656443643971267,1
1000,levy_10d,PSO,1.8236785851293935,2
1000,levy_10d,DE,6.750729019194258,3
1000,levy_10d,CDA,12.534254494014853,4
1000,levy_10d,CDA (tuned),13.230870157745493,5
1000,levy_10d,Random,18.560250385205713,6
2000,sinc_well_2d,GA,1.1202843097635196e-09,1
2000,sinc_well_2d,DE,2.6622983263280275e-05,2
2000,sinc_well_2d,PSO,0.00044456455218089275,3
2000,sinc_well_2d,CDA,0.0023617380814062727,4
2000,sinc_well_2d,CDA (tuned),0.01629791753798493,5
2000,sinc_well_2d,Random,0.12610521700642607,6
2000,ripple_cone_2d,GA,6.360512780356764e-08,1
2000,ripple_cone_2d,DE,0.0005574835467257178,2
2000,ripple_cone_2d,PSO,0.0011722467351252264,3
2000,ripple_cone_2d,CDA,0.005130853832336135,4
2000,ripple_cone_2d,CDA (tuned),0.037260914960850045,5
2000,ripple_cone_2d,Random,0.08997793313036118,6
2000,sphere_10d,GA,0.010867646489552935,1
2000,sphere_10d,PSO,0.07191403537742973,2
2000,sphere_10d,DE,0.7053197456059539,3
2000,sphere_10d,CDA (tuned),11.493930940679512,4
2000,sphere_10d,CDA,14.482810152415631,5
2000,sphere_10d,Random,17.115889078136323,6
2000,rastrigin_10d,GA,11.817093414465582,1
2000,rastrigin_10d,PSO,34.244111545882,2
2000,rastrigin_10d,CDA,41.51309199452092,3
2000,rastrigin_10d,CDA (tuned),46.75560302633192,4
2000,rastrigin_10d,DE,57.47337759645147,5
2000,rastrigin_10d,Random,80.93138873138835,6
2000,ackley_10d,GA,1.9331810654544932,1
2000,ackley_10d,PSO,3.6276340300807353,2
2000,ackley_10d,DE,7.927234765998911,3
2000,ackley_10d,CDA (tuned),12.705495069005323,4
2000,ackley_10d,CDA,14.443423636830804,5
2000,ackley_10d,Random,18.135402172003275,6
2000,rosenbrock_10d,PSO,9.52662306688488,1
2000,rosenbrock_10d,GA,9.680969206373863,2
2000,rosenbrock_10d,DE,26.15089530318588,3
2000,rosenbrock_10d,CDA (tuned),184.76279631040944,4
2000,rosenbrock_10d,Random,284.009176859725,5
2000,rosenbrock_10d,CDA,291.0336302539945,6
2000,griewank_10d,GA,0.7562325133065726,1
2000,griewank_10d,PSO,1.16763346746378,2
2000,griewank_10d,DE,3.1035293737604785,3
2000,griewank_10d,CDA (tuned),38.9462905198385,4
2000,griewank_10d,CDA,46.83410232723175,5
2000,griewank_10d,Random,59.76617591896822,6
