algorithm,problem,dim,seed,best_value,error,evaluations,iterations,evals_to_target,success,stop_reason,seconds
PSO,paper_f1,2,6,-19.966683329358585,7.045031225061393e-12,10000,199,2800,True,budget_exhausted,0.006525277000037022
PSO,paper_f1,2,7,-19.966683329365082,5.471179065352771e-13,10000,199,2550,True,budget_exhausted,0.006326868000542163
PSO,paper_f1,2,8,-19.96668332936241,3.218758592993254e-12,10000,199,2500,True,budget_exhausted,0.00632897800005594
PSO,paper_f1,2,9,-19.966683329354574,1.1056044968427159e-11,10000,199,2550,True,budget_exhausted,0.006352647000312572
PSO,paper_f1,2,10,-19.966683329363367,2.263078613395919e-12,10000,199,2600,True,budget_exhausted,0.00656996900033846
PSO,paper_f1,2,11,-19.966683329360183,5.446310069601168e-12,10000,199,2600,True,budget_exhausted,0.00652379000075598
PSO,paper_f1,2,12,-19.9666833293625,3.1299407510232413e-12,10000,199,2450,True,budget_exhausted,0.006470033000368858
PSO,paper_f1,2,13,-19.966683329361448,4.1815439999481896e-12,10000,199,2300,True,budget_exhausted,0.006473921999713639
PSO,paper_f1,2,14,-19.966683329362255,3.375077994860476e-12,10000,199,2350,True,budget_exhausted,0.006488562999948044
PSO,paper_f1,2,15,-19.96668332932492,4.071054604537494e-11,10000,199,3100,True,budget_exhausted,0.006485774000793754
PSO,paper_f1,2,16,-19.966683329363676,1.9539925233402755e-12,10000,199,2250,True,budget_exhausted,0.00650391499948455
PSO,paper_f1,2,17,-19.966683329341684,2.3945290195115376e-11,10000,199,2750,True,budget_exhausted,0.0064871759996094625
PSO,paper_f1,2,18,-19.96668332935453,1.1098677532572765e-11,10000,199,2700,True,budget_exhausted,0.006500497000160976
PSO,paper_f1,2,19,-19.966683329336732,2.8897773063363275e-11,10000,199,3050,True,budget_exhausted,0.006538057000398112
PSO,paper_f1,2,20,-19.966683329364844,7.851497230149107e-13,10000,199,2600,True,budget_exhausted,0.006482204999883834
PSO,paper_f1,2,21,-19.966683329365566,6.394884621840902e-14,10000,199,2500,True,budget_exhausted,0.006431890000385465
PSO,paper_f1,2,22,-19.96668332936323,2.398081733190338e-12,10000,199,2500,True,budget_exhausted,0.0064344279999204446
PSO,paper_f1,2,23,-19.966683329362947,2.682298827494378e-12,10000,199,2300,True,budget_exhausted,0.006477101999735169
PSO,paper_f1,2,24,-19.96668332936203,3.5988989566249074e-12,10000,199,2400,True,budget_exhausted,0.006524192000142648
PSO,paper_f1,2,25,-19.966683329320837,4.4792614062316716e-11,10000,199,2450,True,budget_exhausted,0.0064905080007520155
PSO,paper_f1,2,26,-19.966683329338245,2.738431703619426e-11,10000,199,2900,True,budget_exhausted,0.0063790479998715455
PSO,paper_f1,2,27,-19.966683329343525,2.2104984509496717e-11,10000,199,2850,True,budget_exhausted,0.0064417809999213205
PSO,paper_f1,2,28,-19.966683329346715,1.8914647625933867e-11,10000,199,2600,True,budget_exhausted,0.00636891599970113
PSO,paper_f1,2,29,-19.96668332936169,3.9399594697897555e-12,10000,199,2750,True,budget_exhausted,0.0063492070003121626
GA,paper_f1,2,0,-19.965977660848072,0.0007056685175577115,10000,199,,False,budget_exhausted,0.010999187000379607
GA,paper_f1,2,1,-19.96668332936563,0.0,10000,199,700,True,budget_exhausted,0.010759953999695426
GA,paper_f1,2,2,-19.966633247987474,5.0081378155653056e-05,10000,199,1050,True,budget_exhausted,0.010851898000510118
GA,paper_f1,2,3,-19.966683299430418,2.9935211642850845e-08,10000,199,700,True,budget_exhausted,0.010876364000068861
GA,paper_f1,2,4,-19.96668332936563,0.0,10000,199,850,True,budget_exhausted,0.010841813000297407
GA,paper_f1,2,5,-19.96668332936563,0.0,10000,199,750,True,budget_exhausted,0.01097937600025034
GA,paper_f1,2,6,-19.96668332936563,0.0,10000,199,850,True,budget_exhausted,0.010944591000225046
GA,paper_f1,2,7,-19.96654313396523,0.00014019540039811318,10000,199,,False,budget_exhausted,0.01084396599981119
GA,paper_f1,2,8,-19.96668332936563,0.0,10000,199,950,True,budget_exhausted,0.01042358900031104
GA,paper_f1,2,9,-19.96668332936563,0.0,10000,199,750,True,budget_exhausted,0.011262755999268848
GA,paper_f1,2,10,-19.96668332936563,0.0,10000,199,950,True,budget_exhausted,0.010264031000588147
GA,paper_f1,2,11,-19.96668332872013,6.454996537286206e-10,10000,199,950,True,budget_exhausted,0.01047170299989375
